Datetime,Tweet Id,Text,Username
2021-11-04 03:50:51+00:00,1456106644492861448,"Wow this is excellent #TheHarderTheyFall
https://t.co/LTOv9fKZ8P",jack
2021-11-03 17:44:00+00:00,1455953925530476546,@adamcurry @Twitter @ademcurry will look into it. I don't know if federation necessarily fixes this issue...but we're working to decentralize too: @bluesky,jack
2021-11-03 17:06:07+00:00,1455944391604850689,@saylor Not yet...,jack
2021-11-03 17:02:43+00:00,1455943535727841280,Cash App is now available for everyone 13 and older https://t.co/TeK8uPQ9Tt,jack
2021-11-03 17:01:59+00:00,1455943350817681409,@mrdonut @CashApp a start: https://t.co/TeK8uPQ9Tt,jack
2021-11-01 16:42:16+00:00,1455213611526209551,John @ID_AA_Carmack is amazing https://t.co/062bPtTYcG,jack
2021-10-31 19:29:10+00:00,1454893228658884616,https://t.co/AJ1hI8p3u8,jack
2021-10-31 07:21:00+00:00,1454709976346157057,"""I've been working on a new electronic cash system that's fully peer-to-peer, with no trusted third party.""

#thankyousatoshi

https://t.co/cz3yYo4UEw",jack
2021-10-31 03:23:16+00:00,1454650148911411200,apps have distracted me from just how powerful the web is,jack
2021-10-30 21:21:02+00:00,1454558992525496327,@buzz Now do metaverse,jack
2021-10-30 17:53:09+00:00,1454506673767211008,damn https://t.co/PpurwD8lqB,jack
2021-10-30 13:43:35+00:00,1454443869605490690,great interview https://t.co/cDhETkn3Dw,jack
2021-10-30 06:01:23+00:00,1454327554630766594,damn https://t.co/hirXmxa2gS,jack
2021-10-30 05:53:19+00:00,1454325521886552073,"is there a more honest market than Bitcoin?

(obviously I don't think so)",jack
2021-10-30 05:02:51+00:00,1454312823685726220,@mrdonut @CashApp working on it,jack
2021-10-29 22:54:38+00:00,1454220157220364288,Hiro https://t.co/DKtVzNJakL,jack
2021-10-29 19:28:01+00:00,1454168163382300673,@TomBalawejder neither,jack
2021-10-29 19:18:14+00:00,1454165699983667201,"what's measured matters
https://t.co/PInFfExuhB
https://t.co/Yuy4Hjlosv",jack
2021-10-28 23:46:39+00:00,1453870861828558851,@BessingerKrista 🙏,jack
2021-10-28 22:35:59+00:00,1453853075995648000,@dhof Meta,jack
2021-10-28 18:24:17+00:00,1453789734791090189,meta: referring to itself or to the conventions of its genre; self-referential.,jack
2021-10-28 00:46:14+00:00,1453523465919627264,rusty 🎄 https://t.co/JtApg2lyod,jack
2021-10-27 02:52:28+00:00,1453192845565644807,💯 https://t.co/pgx14i8mEb,jack
2021-10-27 02:27:27+00:00,1453186553778294788,@steve_hanke Does this mean I can’t join a cryptocurrency board?,jack
2021-10-26 14:55:07+00:00,1453012320347725843,@AlexH_Johnson Me too,jack
2021-10-25 19:52:52+00:00,1452724863366356994,👀 https://t.co/wMwBHKbLTs,jack
2021-10-25 19:20:29+00:00,1452716715935031296,Square sellers can now accept Cash App as a payment type 💯 https://t.co/a0poGutJhq,jack
2021-10-25 16:48:02+00:00,1452678350229544962,@KarenAttiah We’re working on narrowcasting (communities) to help address this,jack
2021-10-25 16:05:51+00:00,1452667735016542209,@Jason or…reading my lines,jack
2021-10-25 15:25:07+00:00,1452657483726553088,@satsie @page88 Candyman?,jack
2021-10-24 09:11:04+00:00,1452200963616514053,@alexisohanian ?,jack
2021-10-24 05:43:32+00:00,1452148734620360707,@balajis FB is creating something they can control. Different.,jack
2021-10-24 05:10:53+00:00,1452140519551758339,@stewartbrand @iPolicy @pcronald @prometheusgreen And loved it,jack
2021-10-24 05:09:26+00:00,1452140153305059333,@steve_hanke 🤣,jack
2021-10-24 04:40:54+00:00,1452132973159936000,https://t.co/Dxf98k88W2,jack
2021-10-24 02:54:17+00:00,1452106139408076802,@cullenroche ?,jack
2021-10-23 20:48:59+00:00,1452014211811344384,💯 https://t.co/uPVEL0c3T5,jack
2021-10-23 20:47:53+00:00,1452013932340645888,@ThHappyHawaiian Someone bought that emoji for tether,jack
2021-10-23 17:14:45+00:00,1451960297762144256,@RudyHavenstein Not a wish. Nor do I think it’s positive at all.,jack
2021-10-23 02:22:30+00:00,1451735753117999104,"@oviosu It will happen in the US soon, and so the world.",jack
2021-10-23 02:15:11+00:00,1451733913961783299,Hyperinflation is going to change everything. It’s happening.,jack
2021-10-22 23:03:39+00:00,1451685712852512771,Great interview https://t.co/WB4L3me9Jp,jack
2021-10-22 15:44:49+00:00,1451575275012050944,@btcplebeian Yes,jack
2021-10-21 19:51:35+00:00,1451274988426719242,💯 https://t.co/RdaWjsrqcp,jack
2021-10-21 19:41:34+00:00,1451272468891533313,"@coolvalleymayor 💯 and this is a belief felt by so many, they are correct.",jack
2021-10-21 19:34:39+00:00,1451270727039000580,@_jonasschnelli_ Thank you for everything Jonas 🧡,jack
2021-10-21 19:00:11+00:00,1451262055592300563,@ErikVoorhees @gaborgurbacs @finkd @SBF_FTX @cz_binance Agree,jack
2021-10-21 18:46:49+00:00,1451258690342817801,@seanvid Extremely short-sighted view when every single successful internet company has benefited from this. Look deeper.,jack
2021-10-21 16:50:22+00:00,1451229383423787010,@lsanger @bluesky Not hidden: https://t.co/YuIPSsCWPn,jack
2021-10-21 02:11:52+00:00,1451008302117056521,"@JCastroS @gladstein I don’t believe any company can, or should, lead whatever these things are. The incentives are wrong. 

I do believe companies can and should help fund open protocols they own zero direction over, however.",jack
2021-10-21 02:06:14+00:00,1451006884903735297,@MikeIsaac Looked amazing,jack
2021-10-21 01:10:15+00:00,1450992798560260098,@cdixon ?,jack
2021-10-21 00:52:16+00:00,1450988271949938697,jane seems cool https://t.co/huaPQAZldD,jack
2021-10-21 00:37:32+00:00,1450984562746556420,i guess @jack is taken https://t.co/Ktz4ODsdpX,jack
2021-10-21 00:21:50+00:00,1450980610936164355,@MikeIsaac Make chili instead,jack
2021-10-20 23:37:37+00:00,1450969485561585674,"Great interview with @dergigi:

https://t.co/dWuhsU7DYK

Also: https://t.co/GLS2pjSTqZ",jack
2021-10-20 20:55:40+00:00,1450928730507919362,@jebus911 Focused on the money,jack
2021-10-20 20:52:31+00:00,1450927937075630082,@dergigi NgD,jack
2021-10-20 18:32:12+00:00,1450892622847889409,@lsanger @bluesky I don’t know why we don’t do that. Open to it. But that’s not decentralizing much except client.,jack
2021-10-20 18:19:25+00:00,1450889405510553601,@lsanger We’ve been actively working on it. @bluesky,jack
2021-10-20 15:58:38+00:00,1450853976602124292,Central Intelligence Corporation,jack
2021-10-20 14:01:08+00:00,1450824408235327493,🌕,jack
2021-10-20 13:47:21+00:00,1450820940296704006,off by 117,jack
2021-10-20 03:38:03+00:00,1450667602703904768,"NARRATOR

He was. https://t.co/U4XnXCmeeG",jack
2021-10-20 02:42:27+00:00,1450653611743010824,@notgrubles ¯\_(ツ)_/¯,jack
2021-10-20 02:40:25+00:00,1450653101615030286,@nvk @MrHodl I’ll do better,jack
2021-10-19 19:29:47+00:00,1450544727091146752,705742,jack
2021-10-19 18:24:51+00:00,1450528387282341888,@delbius Thank you Del! ❤️❤️❤️,jack
2021-10-16 20:58:18+00:00,1449479838574657537,@jasondebolt GigaBill,jack
2021-10-15 20:29:41+00:00,1449110251882549253,"Our team led by @jessedorogusker will start the deep technical investigation required to take on this project. We’d love your thoughts, ideas, concerns, and collaboration. Should we do this? Why or why not? We’ll update this thread as we make our decisions. And now over to Jesse.",jack
2021-10-15 20:29:41+00:00,1449110250058096640,5/Mining isn’t accessible to everyone. Bitcoin mining should be as easy as plugging a rig into a power source. There isn’t enough incentive today for individuals to overcome the complexity of running a miner for themselves. What are the biggest barriers for people running miners?,jack
2021-10-15 20:29:40+00:00,1449110247776342018,"4/There isn’t enough focus on vertical integration. Considering hardware, software, productization, and distribution requires accountability for delivering to an end customer vs improving a single technology in the chain. Does seeing this as a single system improve accessibility?",jack
2021-10-15 20:29:40+00:00,1449110245670801408,"3/Silicon design is too concentrated into a few companies. This means supply is likely overly constrained. Silicon development is very expensive, requires long term investment, and is best coupled tightly with software and system design. Why aren’t more companies doing this work?",jack
2021-10-15 20:29:39+00:00,1449110243628265472,"2/Mining needs to be more efficient. Driving towards clean and efficient energy use is great for Bitcoin’s economics, impact, and scalability. Energy is a system-level problem that requires innovation in silicon, software, and integration. What are the largest opportunities here?",jack
2021-10-15 20:29:39+00:00,1449110241325551616,"1/Mining needs to be more distributed. The core job of a miner is to securely settle transactions without the need for trusted 3rd parties. This is critical well after the last bitcoin is mined. The more decentralized this is, the more resilient the Bitcoin network becomes. True?",jack
2021-10-15 20:29:38+00:00,1449110239442345995,"Square is considering building a Bitcoin mining system based on custom silicon and open source for individuals and businesses worldwide. If we do this, we’d follow our hardware wallet model: build in the open in collaboration with the community. First some thoughts and questions.",jack
2021-10-15 07:31:59+00:00,1448914536266977282,TIDAL algorithm &gt;&gt;&gt;&gt;,jack
2021-10-14 13:15:40+00:00,1448638640008187905,True https://t.co/o1KBpklmVJ,jack
2021-10-14 06:58:07+00:00,1448543624975851521,💯 https://t.co/JT1GI5Nfar,jack
2021-10-13 19:07:50+00:00,1448364874820689925,https://t.co/ZWRBSj1DBx,jack
2021-10-12 19:26:57+00:00,1448007299830849539,@dionnewarwick @Twitter @leslieberland is the boss of that,jack
2021-10-11 22:36:49+00:00,1447692694512414722,I personally think that Jaime Dimon is worth more to Bitcoin…,jack
2021-10-11 21:10:31+00:00,1447670976456634375,💯 https://t.co/4K3IHoaHGX,jack
2021-10-11 16:59:47+00:00,1447607876613201926,❤️ https://t.co/CO9XQJPjoe,jack
2021-10-08 00:07:47+00:00,1446266033434628110,@apopoutsis @killedbygoogle One way or another,jack
2021-10-07 20:07:19+00:00,1446205516653285376,🌀 https://t.co/geJFH9Ztrg,jack
2021-10-06 18:25:43+00:00,1445817560801456130,@getumbrel @bluesky Def interesting @arcalinea,jack
2021-10-06 17:31:46+00:00,1445803987354230787,the guy behind the guy https://t.co/mlCM7JTiWl,jack
2021-10-06 15:02:30+00:00,1445766422655762440,@cz_binance Bitcoin.,jack
2021-10-06 14:02:07+00:00,1445751227019456519,(more importantly: 1856),jack
2021-10-06 14:00:24+00:00,1445750791126470666,“1T”,jack
2021-10-05 12:02:17+00:00,1445358681017749507,6,jack
2021-10-04 18:57:05+00:00,1445100680990138372,"Signal is WhatsUp

🆙 https://t.co/zpRrxf9qKP https://t.co/T23l7Ih6NQ",jack
2021-10-04 18:18:31+00:00,1445090973772562432,@usainbolt 😁,jack
2021-10-04 17:55:43+00:00,1445085236933664770,"wow this blew up

here’s a link to my SoundCloud: https://t.co/VzV1nNqfxy",jack
2021-10-04 17:38:01+00:00,1445080782335365125,@WhatsApp @obyezeks @Twitter thought this was supposed to be encrypted…,jack
2021-10-04 17:21:56+00:00,1445076735603658754,@helenjstoddard @leslieberland @NolaBeth ❤️,jack
2021-10-02 13:42:11+00:00,1444296657655447560,simple and solid https://t.co/akb8kbe0dD,jack
2021-09-29 17:49:24+00:00,1443271707473678338,Internal conversation with the future of Twitter: @bluesky and @arcalinea https://t.co/h1hwxnx7a5,jack
2021-09-29 13:12:26+00:00,1443202008647938058,@micsolana No.,jack
2021-09-24 15:48:49+00:00,1441429422993657858,@SHodyEsq The team did all of this. Was happy to see it.,jack
